nazwa;ticker;ISIN
VELTO;VEL;PLVELTO00012
CENTURION;CTF;PLSTRGM00014
NOWAGALA;CNG;PLCRMNG00029
CEREALPLT;CRP;CY0103021610
CEZ;CEZ;CZ0005112300
CFI;CFI;PLINTKS00013
CHEMOS;CHS;PLCHMDW00010
CHERRY;CHP;PLCHRPK00018
CIGAMES;CIG;PLCTINT00018
CIASTZKRA;CZK;PLTABLO00012
CIECH;CIE;PLCIECH00018
CITYSERV;CTS;EE3100126368
CCENERGY;CCE;PLKAREN00014
CLOUD;CLD;PLCLDTC00019
COALENERG;CLE;LU0646112838
COGNOR;COG;PLCNTSL00014
COLUMBUS;CLC;PLSTIGR00012
COMARCH;CMR;PLCOMAR00012
COMECO;CMC;PLCOMEC00016
COMP;CMP;PLCMP0000017
COMPERIA;CPL;PLCOMPR00010
COMPRESS;COM;PLCMPRS00011
LIBERTY;LTG;PLLBRTG00012
COPERNIC;CRS;PLCPRSC00012
CORELENS;COR;PLCRLNS00018
CELTIC;CPD;PLCELPD00013
CFG;CFG;PLCRFRG00016
CREEPYJAR;CRJ;PLCRPJR00019
CSY;CSY;PLCSYSA00016
CUBEITG;CTG;PLMCINT00013
CWA;CWA;PLCWA0000018
CCS;CCS;PLCCS0000012
CYFRPLSAT;CPS;PLCFRPT00013
CZTOREBKA;CZT;PLCRWTR00022
DAMFINW;DIN;PLFLYPL00017
DANKS;DNS;PLDANKS00014
DATAWALK;DAT;PLPILAB00012
DECORA;DCR;PLDECOR00013
DEKPOL;DEK;PLDEKPL00032
DEKTRA;DKR;PLDKTRA00013
DELKO;DEL;PLDELKO00019
DENTAMDC;DAM;PLDNTMD00012
DEVORAN;DEV;PLVGUAR00011
DGA;DGA;PLDGA0000019
DIGITAL;DGL;PLDGTAV00013
DINOPL;DNP;PLDINPL00011
DCD;DCD;PLTERRA00016
DOMDEV;DOM;PLDMDVL00012
DOMLEK;DLK;PLDMLKR00023
IDMSA;IDM;PLIDMSA00044
DOOK;DOK;PLDOOK000019
DRFINANCE;DRF;PLDRD2400010
DREWEX;DRE;PLDREWX00012
DROP;DRP;PLDROP000011
DROZAPOL;DPL;PLDRZPL00032
EASTSIDE;ESC;PLEENRG00014
EASYCALL;ECL;PLESCLL00010
EBC;EBC;PLEBCSL00011
EC2;EC2;PLEC20000010
ECHO;ECH;PLECHPS00019
ECOTECH;ECO;PLECTPL00019
EDINVEST;EDI;PLEDINV00014
EDISON;EDN;PLEDSON00018
EFIXDM;EFX;PLEFIX000012
EKIOSK;EKS;PLEKOSK00019
EKOEXPORT;EEX;PLEKEP000019
EKOBOX;EBX;PLEKOBX00018
EKOPOL;EGH;PLEKPLG00019
ECERAMICS;ECR;PLGPFCS00018
ELBUDOWA;ELB;PLELTBD00017
BEDZIN;BDZ;PLECBDZ00013
EMONT;ELM;PLEKTRM00016
ELEKTROTI;ELT;PLELEKT00016
ELEMENTAL;EMT;PLELMTL00017
ELKOP;EKP;PLELKOP00013
ELQ;ELQ;PLIPOSA00010
EMCINSMED;EMC;PLEMCIM00017
EMMERSON;EMM;PLEMRSN00012
EMUZYKA;EMU;PLEMZKA00019
ENEA;ENA;PLENEA000013
ESTAR;EST;HU0000089198
ENERGA;ENG;PLENERG00022
ENAP;ENP;PLENAP000010
ENERGOINS;ENI;PLERGIN00015
ENTER;ENT;PLENTER00017
EONET;EON;PLEONTW00016
ERBUD;ERB;PLERBUD00012
ERG;ERG;PLERGZB00014
ERGIS;EGS;PLEUFLM00017
ERNE;ERN;PLVENO000016
ESKIMOS;ESK;PLESKMS00016
ESOTIQ;EAH;PLESTHN00018
ESSYSTEM;ESS;PLESSYS00030
EUROCASH;EUR;PLEURCH00011
EUROHOLD;EHG;BG1100114062
VISION;VIV;PLVRTLV00019
EFENERGII;EFE;PLINTRW00028
EUCO;EUC;PLERPCO00017
EUROSNACK;ECK;PLERSNK00016
ERS;ERS;PLEURSS00014
EUROTAX;ETX;PLEURTX00012
EUROTEL;ETL;PLERTEL00011
EVEREST;EVE;PLWDMCP00013
EXAMOBILE;EXA;PLEXMBL00010
EXCELLENC;EXC;PLEXCLN00016
SNIEZKA;SKA;PLSNZKA00033
FABRYKAKD;FKD;PLFKDRW00016
RAFAMET;RAF;PLRFMET00016
FASING;FSG;PLFSING00010
FORTE;FTE;PLFORTE00012
FACHOWCY;FAV;PLFCHVT00012
FAMUR;FMF;PLFAMUR00012
FASTFIN;FFI;PLFSTFC00012
FDGAMES;FDG;PLSITE000013
FEERUM;FEE;PLFEERM00018
FENGHUA;FGT;DE000A13SX89
FERRO;FRO;PLFERRO00016
FERRUM;FER;PLFERUM00014
FMG;FMG;PLTHP0000011
AUTOSPA;ASP;PLAUTSP00014
FINHOUSE;FIN;PLFINHS00018
FINTECH;FTH;PLJRSDB00015
DEBICA;DBC;PLDEBCA00016
FITEN;FTN;PLFITEN00013
FLUID;FLD;PLFLUID00017
FON;FON;EE3100143108
BETOMAX;BTX;PLBETMX00013
FOREVEREN;FOR;PLFRENT00014
FORPOSTA;FPO;PLFRPST00019
FTIPROFIT;FTI;PLFTPRF00016
FHDOM;FHD;PLFHDOM00010
GALVO;GAL;PLGALVO00017
GENRG;GNG;PLELKPE00014
GENOMED;GEN;PLGNOMD00024
GEOTERM;GTP;PLGTRMP00010
GEOTRANS;GTS;PLGEOTR00010
GEOTREKK;GTK;PLPLMKR00019
GETBACK;GBK;PLGTBCK00297
GETIN;GTN;PLGSPR000014
GETINOBLE;GNB;PLGETBK00012
GPW;GPW;PLGPW0000017
VINDEXUS;VIN;PLVNDEX00013
GINOROSSI;GRI;PLGNRSI00015
GKSKAT;GKS;PLGKS0000016
GLGPHARMA;GLG;PLM100000014
GLCOSMED;GLC;PLGLBLC00011
GLOBALTR;GTR;PLGLBLT00015
GPRE;GPR;NL0012235980
GTC;GTC;PLGTC0000037
GOTFI;GTF;PLGOTFI00016
GOBARTO;GOB;PLDUDA000016
GOLAB;GOL;PLGOLAB00019
GORENJE;GRV;SI0031104076
GOVENA;GOV;PLGVNLT00019
GPPI;GPP;PLGPPIK00011
GRAVITON;GRT;PLWDM0000029
GRMEDIA;GME;PLGRMID00019
GREMPCO;GRM;PLGRMPC00016
GROCLIN;GCN;PLINTGR00013
GRODNO;GRN;PLGRODN00015
GRUPAAZOTY;ATT;PLZATRM00012
PULAWY;ZAP;PLZAPUL00057
POLICE;PCE;PLZCPLC00036
GRUPAEMM;GEM;PLEMRCP00011
GRUPAHRC;HRC;PLGRHRC00012
IMMOBILE;GKI;PLMAKRM00019
KETY;KTY;PLKETY000011
LOTOS;LTS;PLLOTOS00025
GRUPAREC;GRC;PLRCKL000010
GTRINITY;GTY;PLGTRNT00010
ZYWIEC;ZWC;PLZYWIC00016
GWARANT;GWR;PLGWRNT00014
HARPER;HRP;PLHRPHG00023
HEFAL;HEF;PLHFLSW00013
HELIO;HEL;PLHELIO00014
HERKULES;HRS;PLZRWZW00012
HETAN;HTN;PLHTNTH00019
HMINWEST;HMI;PLHMINW00016
HOLLYWOOD;HLD;PLHOLWD00017
HORNIGOLD;HRL;PLMBLPR00018
HORTICO;HOR;PLHRTIC00014
HOTBLOK;HOT;PLHOTB000011
HUBSTYLE;HUB;PLGRNKT00019
HGAMES;HBG;PLHCKLG00010
HURTIMEX;HRT;PLHRTIM00013
HYDRAPRES;HPS;PLHDRAP00017
AERFINANC;AER;GB00B42V2T10
HYPERION;HYP;PLHPRON00017
I2DEV;I2D;PLI2DVL00014
I3D;I3D;PLI3D0000011
IAI;IAI;PLIAI0000014
IBCPOLSKA;IBC;PLIBCPL00018
IBSM;IBS;PLPLPGR00010
ICPGROUP;ICP;PLICPGR00014
IDEABANK;IDA;PLIDEAB00013
IDEON;IDE;PLCNTZP00010
IDH;IDH;PLICI0000010
IFIRMA;IFI;PLPWRMD00011
IFM;IFM;PLINVFM00012
IFUN4ALL;IF4;PLIFN4L00018
IGORIA;IGT;PLIGRTR00014
IMAGIS;IMG;PLIMAGS00013
IMCOMPANY;IMC;LU0607203980
IIAAV;IIA;AT0000A21KS2
IMPEL;IPL;PLIMPEL00011
IMPERA;IMP;PLNFI0700018
IMPEXMET;IPX;PLIMPXM00019
IMS;IMS;PLINTMS00019
INBOOK;INB;PLINBOK00010
INC;INC;PLINCLT00015
INCANA;ICA;PLINCNA00011
INDATA;IDT;PLTROMD00010
INDOS;INS;PLINDOS00035
INDYGO;IDG;PLLSTIA00018
INDYKPOL;IND;PLINDKP00013
INFOSCAN;IST;PLINFSC00019
INFRA;IFA;PLINFRA00015
INGBSK;ING;PLBSK0000017
INNOGENE;IGN;PLINNGN00015
INPRO;INP;PLINPRO00015
INSTALKRK;INK;PLINSTK00013
ISIAG;ISG;PLINSAG00011
INTELIWIS;ITL;PLITLWS00012
INTERCARS;CAR;PLINTCS00010
INTERAOLT;IRL;LT0000128621
INTERBUD;ITB;PLINTBD00014
ICPD;ICD;BG1100018057
BPC;BPC;PLBLKPC00014
INTERFERI;INF;PLINTFR00023
ITMTRADE;ITM;PLBRIJU00010
PROVIDENT;IPF;GB00B1YKG049
IU;IUS;PLINTUN00013
INTERNITY;INT;PLINTNT00015
INTERSPPL;IPO;PLINTSP00038
INTROL;INL;PLINTRL00013
INVENTION;INM;PLCDE0000010
INVESTEKO;IVE;PLIVSTK00016
IFCAPITAL;IFC;EE3100143041
IFSA;IFR;EE3100143033
INVISTA;INV;PLECMNG00019
INWESTPL;INW;PLINSTC00010
IPODS;IOD;PLIPODS00014
IPOPEMA;IPE;PLIPOPM00011
IQP;IQP;PLIQPRT00017
IZOBLOK;IZB;PLIZBLK00010
IZOLACJA;IZO;PLIZCJR00017
IZOSTAL;IZS;PLIZSTL00015
JWCONSTR;JWC;PLJWC0000019
JSW;JSW;PLJSW0000015
JHMDEV;JHM;PLJHMDL00018
JJAUTO;JJO;DE000A1TNS70
JRHOLDING;JRH;PLJRINV00013
JUJUBEE;JJB;PLJJBEE00028
JWA;JWA;PLJWASA00013
JWWINVEST;JWW;PLJWWNT00018
KKHERBAL;KKH;PLKKHRB00011
K2INTERNT;K2I;PLK2ITR00010
KME;KME;PLMDIUS00018
KANCELWEC;KPI;PLKPWEC00015
KBJ;KBJ;PLKBJ0000016
KCI;KCI;PLPONAR00012
KDMSHIPNG;KDM;CY0102492119
KERNEL;KER;LU0327357389
KGHM;KGH;PLKGHM000017
KINOPOL;KPL;PLKNOPL00014
KLON;KLN;PLKLON000010
KOFAMA;KFM;PLKFMKZ00015
KOMPUTRON;KOM;PLKMPTR00012
KONSSTALI;KST;PLKCSTL00010
KORBANK;KOR;PLKRBNK00019
KBDOM;KBD;PLTRAST00020
EFEKT;EFK;PLEFEKT00018
KGL;KGL;PLKRKGL00012
KPPD;KPD;PLKPPD000017
KRAKCHEM;KCH;PLKRKCH00019
KREDYTIN;KRI;PLKRINK00014
KREZUS;KZS;PLNFI0200019
KRKA;KRK;SI0031102120
KRUK;KRU;PLKRK0000010
KRVITAMIN;KVT;PLKRVTM00010
KREC;KRC;PLKRNRC00012
KSGAGRO;KSG;LU0611262873
KUPIEC;KPC;PLKUPIC00010
LABOPRINT;LAB;PLLBPRT00013
LANGLOO;LAN;PLLANGL00010
LARK;LRK;PLPPWK000014
LARQ;LRQ;PLCAMMD00032
LAURENPES;LPS;PLLRPSP00015
LCCORP;LCC;PLLCCRP00017
LENA;LEN;PLLENAL00015
LENTEX;LTX;PLLENTX00010
LETUS;LET;PLGDVIS00018
LIBET;LBT;PLLBT0000013
LIVECHAT;LVC;PLLVTSF00010
LKDESIGN;LKS;PLLKDGS00015
LGTRADE;LGT;PLLGNTD00017
LOGZACT;LGZ;PLLGZCT00013
LOKATYBUD;LBD;PLFBRD000018
LOKUM;LKD;PLLKMDW00049
LPP;LPP;PLLPP0000011
LSISOFT;LSI;PLLSSFT00016
LUBAWA;LBW;PLLUBAW00013
BOGDANKA;LWB;PLLWBGD00016
LUG;LUG;PLLUG0000010
LUKARDI;LUK;PLSAP0000018
LUXIMA;LUX;PLLUXIM00011
LZMO;LZM;PLLZMO000014
MFOOD;MFD;PLMDVLP00016
MWTRADE;MWT;PLMWTRD00013
M4B;M4B;PLM4B0000017
MABION;MAB;PLMBION00016
MGAMES;MGS;PLMRCGM00013
MADKOM;MAD;PLMADKM00019
06MAGNA;06N;PLNFI0600010
MAKARONPL;MAK;PLMKRNP00015
MAKOLAB;MLB;PLMKLAB00023
MALKOWSKI;MMA;PLMLKMR00016
MANGATA;MGT;PLZTKMA00017
MBWS;MBW;FR0000060873
MARKA;MRK;PLMARKA00014
MARSOFT;MAR;PLMRSFT00016
MARVIPOL;MVP;PLMRVDV00011
MASTERPHA;MPH;PLMSTPH00016
SPAC1;SP1;PLIBZIC00013
MAXCOM;MXC;PLMXCMS00016
MAXIMUS;MAX;PLMAXMS00010
MAXIPIZZA;MXP;PLMXPZZ00015
MBANK;MBK;PLBRE0000012
MBFGROUP;MBF;PLMBFCR00018
MCI;MCI;PLMCIMG00012
MDIENERGIA;MDI;PLNFI1000012
MEDAPP;MDA;PLYLWHT00012
MEDARD;MRD;PLVENIT00010
MEDCAMP;MDP;PLTCHPR00019
MEDGALIC;MGC;PLMDGLC00015
MEDIACAP;MCP;PLEMLAB00018
MEDIANPOL;MDN;PLMDNPL00013
MEDIATEL;MTL;PLSMMDA00012
GENERGY;GNR;PLDVCOM00018
MEDICALG;MDG;PLMDCLG00015
MEDINICE;ICE;PLMDNCE00016
MEGASONIC;MGA;PLMGSNC00019
MEGARON;MEG;PLMGRON00016
MENNICA;MNC;PLMNNCP00011
MENNICASK;MNS;PLGRMNK00014
MERA;MER;PLMERA000019
MERCATOR;MRC;PLMRCTR00015
MERCOR;MCR;PLMRCOR00016
MERIT;MEI;PLMRTIN00011
MERLINGRP;MRG;PLADMSV00013
METROPOLIS;MRS;PLINDXM00013
MEXPOLSKA;MEX;PLMEXPL00010
MFO;MFO;PLMFO0000013
MGMSYS;MGM;PLMGMST00015
