nazwa;ticker;ISIN
ROVITA;ROV;PLRVITA00019
RSY;RSY;PLRSYSA00014
RUBICON;RBC;PLNFI0500012
RUCHCHORZ;RCW;PLRCHZW00012
S4E;S4E;PLS4E0000015
SADOVAYA;SGR;LU0564351582
SAKANA;SKN;PLSAKAN00010
SANOK;SNK;PLSTLSK00016
SANPL;SPL;PLBZ00000044
SANWIL;SNW;PLSANWL00012
SAPLING;SAP;PLSPLNG00013
SARE;SAR;PLSARE000013
IALBGR;IAG;PLADVPL00029
SCOPAK;SCO;PLSCOPK00012
SCPFL;SCP;PLSCPFL00018
SECOGROUP;SWG;PLWRWCK00013
SEKO;SEK;PLSEKO000014
SELENAFM;SEL;PLSELNA00010
SELVITA;SLV;PLSELVT00013
SERINUS;SEN;JE00BF4N9R98
SESCOM;SES;PLSESCM00013
SETANTA;SET;PLSNTFG00017
SEVENET;SEV;PLSVNET00019
SFD;SFD;PLSFD0000013
SFERANET;SFN;PLSFRNT00014
SFINKS;SFS;PLSFNKS00011
SILVAIR-REGS;SVRS;USU827061099
SILVANO;SFG;EE3100001751
SIMPLE;SME;PLSIMPL00011
SKARBIEC;SKH;PLSKRBH00014
SFKPOLKAP;SFK;PLSFKPL00011
SKOTAN;SKT;PLSKTAN00010
SKYLINE;SKL;PLSKLNW00011
SLEEPZAG;SLZ;DE000A2E3772
SMSKREDYT;SMS;PLSMSKH00019
SOFTBLUE;SBE;PLSFTBL00012
SOHODEV;SHD;PLNFI0400015
SOLAR;SOL;PLSLRCP00021
SONEL;SON;PLSONEL00011
SOPHARMA;SPH;BG11SOSOBT18
SPARKVC;SPK;PLRKLMF00010
STALEXP;STX;PLSTLEX00019
STALPROD;STP;PLSTLPD00017
STALPROFI;STF;PLSTLPF00012
STANDREW;STD;PLSTNDR00019
STARFIT;SFI;PLSTRFT00011
STARHEDGE;SHG;PLHRDEX00021
STELMET;STL;PLSTLMT00010
STEMCELLS;SCS;PLSTCLS00013
STOPKLA;STK;PLSTPKL00012
STOPPOINT;STO;PLPRKLS00016
SUMMALING;SUL;PLSMLNG00010
SUNEX;SNX;PLSUNEX00013
SUNTECH;SUN;PLSNTCH00012
SURFLAND;SSK;PLSFLND00011
SUWARY;SUW;PLSUWAR00014
SWISSMED;SWD;PLSWMED00013
SYGNITY;SGN;PLCMPLD00016
SYMBIO;SYM;PLSMBI000013
SYNEKTIK;SNT;PLSNKTK00019
SYNERGA;SNG;PLMWTNS00010
SZAR;SZR;PLSZAR000018
SLASKIEKA;SLK;PLSLKAM00019
TALANX;TNX;DE000TLX1005
TALEX;TLX;PLTALEX00017
TAMEX;TOS;PLTAMEX00015
TARCZYNSKI;TAR;PLTRCZN00016
TATRY;TMR;SK1120010287
TAURONPE;TPE;PLTAURN00011
TAXNET;TXN;PLTAXNT00011
TAXUSFUND;TXF;PLTXSFN00012
TBULL;TBL;PLTBULL00024
TECHINVGR;TIG;PLPBLIA00012
TECHMADEX;TDX;PLTHMDX00012
TELEHORSE;TLH;PLBLOCM00013
TELEMEDPL;TMP;PLTLMDC00018
TELESTO;TLO;PLTELST00017
TELESTR;TLS;PLTLSTD00019
TELIANI;TLV;PLTLVPL00014
TSGAMES;TEN;PLTSQGM00016
TERMO2PWR;T2P;PLTRMPR00017
TERMOEXP;TME;PLTRMEX00019
TERMOREX;TRR;PLTRMRX00011
TESGAS;TSG;PLTSGS000019
THEDUST;THD;PLTHDST00017
FARM51;F51;PLFRMGR00015
TIM;TIM;PLTIM0000016
TORPOL;TOR;PLTORPL00016
TOWERINVT;TOW;PLTWRNV00013
TOYA;TOA;PLTOYA000011
TRAKCJA;TRK;PLTRKPL00014
TRANSPOL;TRN;PLTRNSP00013
TRITON;TRI;PLASMOT00030
TXM;TXM;PLTXM0000015
UHYECA;ECA;PLAUXLM00026
ULMA;ULM;PLBAUMA00017
ULTGAMES;ULG;PLULTGM00013
UNIBEP;UNI;PLUNBEP00015
UNICREDIT;UCG;IT0005239360
UNIFIED;UFC;PLDTBRK00037
UNIMA;U2K;PLUNMST00014
UNIMOT;UNT;PLUNMOT00013
UNITED;UTD;PLSTCKI00016
URSUS;URS;PLPMWRM00012
VABUN;VAB;PLVBN0000015
VAKOMTEK;VKT;PLVKMTK00015
VANTAGE;VTG;PLVTGDL00010
VARSAV;VAR;PLYORIM00019
VCP;VCP;PLVNTCP00019
VENTUREIN;VTI;PLVNTIN00011
VERBICOM;VRB;PLVRBCM00015
VERTE;VTE;PLVERTE00010
VIATRON;VIA;PLVTRON00010
VIDIS;VDS;PLVIDIS00014
VIGOSYS;VGO;PLVIGOS00015
VISTAL;VTL;PLVTLGD00010
VIVID;VVD;PLVVDGM00014
VOICETEL;VOI;PLVCTCM00019
VOTUM;VOT;PLVOTUM00016
VOXEL;VOX;PLVOXEL00014
VISTULA;VST;PLVSTLA00011
WARIMPEX;WXF;AT0000827209
WASKO;WAS;PLHOGA000041
WAWEL;WWL;PLWAWEL00013
WDBBU;WDB;PLWDBBU00018
WBAY;WBY;PLWLTHB00010
WERTHHOLZ;WHH;PLWRTHL00016
WESTREAL;WRE;PLWREST00018
WIELTON;WLT;PLWELTN00012
WIERZYCL;WRL;PLWRZCL00014
WIKANA;WIK;PLELPO000016
WILBO;WLB;PLWILBO00019
WIRTUALNA;WPL;PLWRTPL00027
;;PLWSTIL00012
WITTCHEN;WTN;PLWTCHN00030
WODKAN;WOD;PLWDKAN00016
WOJAS;WOJ;PLWOJAS00014
WOLFSTF;WTF;PLGRPHC00016
WORKSERV;WSE;PLWRKSR00019
XPLUS;XPL;PLXPLUS00013
XTPL;XTP;PLXTPL000018
XTB;XTB;PLXTRDM00011
YOLO;YOL;PLPRESC00018
ZREMB;ZRE;PLZBMZC00019
ROPCZYCE;RPC;PLROPCE00017
KANIA;KAN;PLIZNS000022
OTMUCHOW;OTM;PLZPCOT00018
KRUSZWICA;KSW;PLKRUSZ00016
ELZAB;ELZ;PLELZAB00010
STAPORKOW;ZUK;PLSTPRK00019
ZAMET;ZMT;PLZAMET00010
ZASTAL;ZST;PLZSTAL00012
KOGENERA;KGN;PLKGNRC00015
ZEPAK;ZEP;PLZEPAK00012
ZPUE;PUE;PLZPUE000012
ZUE;ZUE;PLZUE0000015
